llm_model_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
meta-llama/llama-3.1-70b,4,8,256,0,10,66,1,121170487,1,0,1,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,67,0,121178059,0,0,0,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,68,0,121178899,0,0,0,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,69,0,121183232,0,0,0,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,70,0,121190570,0,0,0,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,71,0,121196087,0,0,0,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,72,0,121203214,0,0,0,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,73,0,121209892,0,0,0,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,74,0,121217342,0,0,0,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,75,0,121224460,0,0,0,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,76,0,121434028,8,256,0,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,77,0,121535474,8,249,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,78,0,121648147,8,249,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,79,0,121772219,8,249,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,80,0,121906905,8,249,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,81,0,122054307,8,249,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,82,0,122219270,8,249,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,83,0,122402617,8,249,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,84,0,122615188,8,249,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,85,0,122749951,8,33,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,86,0,122823437,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,87,0,122889923,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,88,0,122955371,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,89,0,123015805,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,90,0,123076180,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,91,0,123136629,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,92,0,123196576,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,93,0,123256717,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,94,0,123317307,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,95,0,123378609,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,96,0,123438903,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,97,0,123498701,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,98,0,123559538,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,99,0,123618342,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,100,0,123678164,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,101,0,123737865,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,102,0,123798033,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,103,0,123857313,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,104,0,123918580,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,105,0,123977333,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,106,0,124037612,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,107,0,124098390,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,108,0,124158716,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,109,0,124218671,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,110,0,124276414,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,111,0,124337725,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,112,0,124401828,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,113,0,124469648,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,114,0,124530503,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,115,0,124602623,8,42,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,116,0,124663379,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,117,0,124724117,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,118,0,124784422,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,119,0,124843682,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,120,0,124902433,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,121,0,124963444,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,122,0,125025027,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,123,0,125085091,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,124,0,125146187,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,125,0,125206834,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,126,0,125268293,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,127,0,125329485,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,128,0,125391067,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,129,0,125450343,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,130,0,125512978,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,131,0,125573225,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,132,0,125635142,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,133,0,125695343,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,134,0,125757545,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,135,0,125818238,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,136,0,125879089,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,137,0,125939998,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,138,0,126000483,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,139,0,126060141,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,140,0,126118225,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,141,0,126179318,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,142,0,126238511,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,143,0,126299630,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,144,0,126359263,8,0,8,0,0,0
