llm_model_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
meta-llama/llama-3.1-70b,4,8,512,0,10,0,0,122021928,0,0,0,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,1,1,122618313,1,512,0,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,2,1,122837624,2,511,1,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,3,1,123127237,3,511,1,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,4,1,123291186,4,510,2,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,5,1,123506502,5,509,3,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,6,1,123676442,6,508,4,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,7,1,123841347,7,507,5,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,8,1,124004712,8,506,6,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,9,1,124137641,8,29,7,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,10,1,124229410,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,11,1,124311394,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,12,1,124382940,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,13,1,124451705,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,14,1,124530783,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,15,1,124601092,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,16,1,124669027,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,17,1,124736426,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,18,1,124803763,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,19,1,124871500,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,20,1,124938141,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,21,1,125006418,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,22,1,125073749,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,23,1,125140492,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,24,1,125207966,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,25,1,125278121,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,26,1,125344877,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,27,1,125412253,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,28,1,125479345,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,29,1,125547546,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,30,1,125614698,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,31,1,125681504,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,32,1,125849728,8,505,7,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,33,1,126016231,8,506,6,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,34,1,126093258,7,15,6,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,35,1,126162904,6,0,6,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,36,1,126232858,5,0,5,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,37,1,126303318,4,0,4,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,38,1,126373007,3,0,3,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,39,1,126444729,2,0,2,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,40,1,126513340,2,0,2,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,41,1,126582263,2,0,2,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,42,1,126650114,2,0,2,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,43,1,126718330,2,0,2,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,44,1,126786991,2,0,2,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,45,1,126856100,2,0,2,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,46,1,126923846,2,0,2,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,47,1,126992235,2,0,2,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,48,1,127062942,2,0,2,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,49,1,127130472,2,0,2,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,50,1,127198325,2,0,2,0,0,0
meta-llama/llama-3.1-70b,4,8,512,0,10,51,1,127266404,2,0,2,0,0,0
