llm_model_name,dataset_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,request_guid,is_warmup_request,timestamp,decoding_step_idx
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,57657404,11
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,57657404,7
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,57657404,3
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,57657415,-1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,57733901,12
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,57733901,8
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,57733901,4
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,57733901,0
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,57799514,13
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,57799514,9
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,57799514,5
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,57799514,1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,57868255,14
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,57868255,10
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,57868255,6
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,57868255,2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,57942884,15
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,57942884,11
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,57942884,7
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,57942884,3
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,57942968,-1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,58019698,16
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,58019698,12
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,58019698,8
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,58019698,4
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,58019698,0
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,58085963,17
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,58085963,13
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,58085963,9
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,58085963,5
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,58085965,1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,58155140,18
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,58155140,14
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,58155140,10
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,58155140,6
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,58155140,2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,58230539,19
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,58230539,15
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,58230539,11
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,58230539,7
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,58230539,3
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,58230554,-1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,58329263,20
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,58329263,16
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,58329263,12
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,58329263,8
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,58329263,4
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,58329263,0
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,58393723,21
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,58393723,17
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,58393723,13
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,58393723,9
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,58393723,5
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,58393723,1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,58461430,22
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,58461430,18
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,58461430,14
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,58461430,10
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,58461430,6
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,58461430,2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,58533305,23
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,58533305,19
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,58533305,15
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,58533305,11
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,58533305,7
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,58533305,3
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,58533387,-1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,58611078,24
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,58611078,20
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,58611078,16
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,58611078,12
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,58611078,8
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,58611078,4
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,58611078,0
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,58677102,25
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,58677103,21
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,58677103,17
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,58677103,13
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,58677103,9
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,58677103,5
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,58677103,1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,58746123,26
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,58746123,22
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,58746123,18
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,58746123,14
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,58746123,10
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,58746123,6
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,58746123,2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,58819985,27
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,58819986,23
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,58819986,19
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,58819986,15
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,58819986,11
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,58819986,7
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,58819987,3
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,61915651,28
